,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
22,1212.0,留萌市　　　　,Rumoi-shi,22221,2290,12391,7513,99,17257,148,277,1043,1326,22545,10402,10358,5774,3877,2678,1655,1619,104,39,297.84,52.02,26209,9562,1241,142,1090,11121,2117,8911,11,11427,833,51477,252,1499,0.32,3.9,16.5,13615,13307,2310,2,220,5,101,886,3,57,429,2,596,11347,10813,534,358,2200,8213,9179,553,200,537,300,10078,669,11070,926,1,1,10740,5960,4520,98.49,2288,21861,6657,22.2,243,137,3,0,2,15,15,47,14,47,1,9,3,299,4246
23,1213.0,苫小牧市　　　,Tomakomai-shi,172737,22401,105217,44469,405,142348,1256,1807,5556,5721,173151,78298,78145,45158,28681,16374,9876,9201,929,388,561.57,201.82,215988,76068,7723,1361,6340,84199,20533,63305,13,1160448,10951,528486,1407,13275,0.77,3,6.1,79246,78041,27615,17,2796,24,578,9053,15,350,4642,7,3942,80217,76793,3424,1273,19105,50802,63477,3424,1132,3007,938,66085,6156,77825,7188,1,1,74580,41260,32550,89.17,915,173227,71749,30.8,1232,859,26,1,11,94,81,332,111,299,8,30,24,1848,36367
24,1214.0,稚内市　　　　,Wakkanai-shi,36380,4304,21570,10505,298,29544,218,427,1299,1779,36493,16486,16445,9191,5972,3923,2227,2084,166,79,761.47,319.32,48869,15994,2102,323,1751,18538,3918,14212,147,51627,1595,132134,399,3076,0.37,0.8,14.4,26227,26094,4443,6,497,11,165,1582,7,100,868,2,949,17815,16928,887,1287,3390,11267,12864,971,391,1045,690,15670,226,17042,340,0,1,15990,9270,6440,101.93,1009,35675,16947,22,312,273,5,1,3,16,14,40,19,57,3,11,6,355,8242
25,1215.0,美唄市　　　　,Bibai-shi,23035,1973,12205,8853,33,10663,80,351,539,785,22721,10173,10098,5620,3567,2952,1771,1992,61,25,277.69,157.76,21921,8589,1098,186,877,9647,2093,7309,94,14917,837,26022,173,1037,0.26,4.9,15.2,15985,15559,2106,3,132,5,80,768,4,57,451,2,600,10562,10047,515,1436,2097,6276,7418,466,281,898,833,7909,1930,9945,1828,4,1,9940,6890,3020,107.59,3546,22543,7258,18.3,167,104,1,0,4,11,15,42,17,31,2,6,4,87,6097
26,1216.0,芦別市　　　　,Ashibetsu-shi,14676,1109,7160,6405,42,7136,38,304,284,516,14372,6862,6828,3897,2395,2202,1376,1440,39,20,865.04,137.04,12489,5344,749,96,628,5825,1568,3994,36,15482,1220,12754,139,734,0.25,0.1,8.2,11329,11311,1497,1,112,2,35,414,2,28,245,1,330,6480,6152,328,642,1691,3778,4849,299,125,469,375,5129,987,5846,681,0,1,7590,4730,2860,97.24,3826,14288,4697,31,135,84,1,0,2,5,8,18,10,25,2,3,2,110,3715
27,1217.0,江別市　　　　,Ebetsu-shi,120636,13524,74253,32585,391,109372,652,1201,4734,4497,108051,51983,51905,32310,16659,12742,7527,5849,380,184,187.38,167.63,136094,49287,3579,562,2974,36951,6768,29798,71,93731,3852,140267,621,6307,0.53,1.8,9.4,46385,45939,12214,9,1190,18,407,5635,9,279,3651,5,4116,55757,53086,2671,1439,9540,39322,44684,2308,680,2591,1025,26409,24818,38523,10255,3,4,49880,33140,16050,97.86,1120,119250,39251,25.5,596,297,25,1,5,66,71,185,85,173,4,20,12,932,26545
28,1218.0,赤平市　　　　,Akabira-shi,11105,835,5306,4964,54,...,30,255,232,312,11560,4980,4948,2770,1828,1617,1011,1098,27,12,129.88,36.69,9300,3951,502,81,417,4940,1567,3328,8,22728,1133,10402,101,470,0.21,5.9,17.6,9481,9195,870,1,51,3,42,329,2,29,191,0,0,4742,4474,268,207,1219,2994,3572,203,58,432,135,3317,1092,5152,1770,2,1,5030,2770,2210,99.19,2375,10850,3162,28,107,46,1,0,2,3,5,29,5,20,3,7,2,115,2550
29,1219.0,紋別市　　　　,Mombetsu-shi,23109,2329,12707,7631,310,15822,150,304,766,996,23095,11127,11101,5900,4461,2760,1676,1683,84,48,830.67,174.51,28274,9827,1403,222,1157,11497,3053,8217,85,53361,1742,91340,260,1670,0.3,5.3,11.2,18748,18214,2863,1,86,6,93,890,3,55,478,1,461,11668,11270,398,1017,2877,6940,8805,602,327,702,462,10376,546,11204,480,3,1,11220,6790,4420,96.66,2248,22998,7989,24,234,161,2,1,5,8,11,36,14,29,1,9,3,121,6061
30,1220.0,士別市　　　　,Shibetsu-shi,19914,2066,10384,7451,57,11647,88,296,490,656,19922,8650,8625,5068,2703,2516,1690,1331,64,23,1119.22,279.78,21763,7548,1242,177,1019,9824,1780,7649,167,12247,474,34542,226,1361,0.26,3.6,13.8,19802,19435,2335,3,124,8,116,826,5,71,472,2,400,9820,9507,313,1730,1655,5805,6728,468,273,910,891,8487,771,9633,897,17,2,9000,6490,2480,117.51,1327,19548,7888,10.5,209,127,3,1,1,13,11,22,12,31,2,6,3,216,5087
31,1221.0,名寄市　　　　,Nayoro-shi,29048,3453,16755,8794,118,18879,216,364,1354,1582,29205,13086,13012,7179,4938,3099,2015,1658,135,57,535.2,198.52,34760,12258,1505,162,1324,14255,1527,12572,104,17502,458,62290,318,2326,0.27,2.8,8.2,23803,23414,3076,4,341,8,141,1301,4,79,675,2,651,14828,14377,451,1666,1612,10652,11220,567,362,915,934,13112,881,14428,932,19,2,12530,7780,4660,99.17,1586,28379,10158,20.3,291,184,5,2,4,11,16,92,22,54,2,6,5,331,5978
32,1222.0,三笠市　　　　,Mikasa-shi,9076,694,4199,4181,17,...,41,230,286,319,9154,4254,4241,2313,1649,1407,819,1050,19,13,302.52,56.78,7324,3179,440,73,356,4124,1061,2873,13,11343,569,14720,98,594,0.19,3.2,6.3,10033,9879,882,1,47,2,28,293,2,26,148,1,118,3647,3400,247,310,667,2413,2803,165,69,190,161,2218,1161,3657,1418,1,1,4560,2730,1790,98.15,2354,9056,4108,23.9,99,33,1,1,2,4,4,16,4,14,1,3,2,106,2195
33,1223.0,根室市　　　　,Nemuro-shi,26917,3033,15533,8285,253,15511,162,379,753,1189,27066,11383,11363,6314,3692,2885,1595,1498,111,51,411.41,207.85,32907,11364,1609,273,1283,13392,3278,9610,96,62893,1961,112093,306,1961,0.33,0.6,9.4,20690,20573,3030,3,296,8,128,1163,7,108,620,2,594,14418,13876,542,2768,3162,7751,9745,734,590,1035,1577,13495,153,14078,355,4,1,11510,7710,3780,109.75,7686,26712,14540,19,266,194,5,1,1,8,12,33,13,24,2,13,7,383,8219
34,1224.0,千歳市　　　　,Chitose-shi,95648,13573,61908,19979,435,80072,806,714,5865,5609,99138,40638,40465,24115,14048,7774,4454,3742,610,218,594.5,196.23,130782,44638,3269,400,2827,50231,9188,40604,59,245547,7372,192567,684,6756,0.78,2.2,9.9,38165,37691,14980,8,1493,17,328,5468,9,186,2724,2,1723,47948,46015,1933,1303,8253,34047,40093,1299,511,1507,647,36016,8105,50687,12777,12,1,38660,21010,17260,89.18,1087,96038,36060,11.1,701,535,19,1,6,54,46,123,63,140,2,29,10,969,17334
35,1225.0,滝川市　　　　,Takikawa-shi,41192,4456,23001,13353,80,28972,246,559,1845,1927,40275,18651,18600,10717,6591,4710,2965,2670,187,70,115.9,102.06,46378,17325,2033,274,1743,17631,2462,15029,51,14366,553,91816,411,3284,0.38,5,11.3,21901,21308,4323,2,327,6,132,1801,4,83,951,3,1721,19610,18850,760,926,3385,13819,15268,915,366,1111,673,13391,4950,17463,3563,1,1,18080,10660,7430,95.3,4258,41365,15682,21.8,377,278,8,1,5,24,25,89,31,97,2,13,5,467,9188
36,1226.0,砂川市　　　　,Sunagawa-shi,17694,1758,9355,6390,23,8905,85,252,625,660,18484,7858,7840,4627,2594,2323,1452,1195,52,35,78.68,48.84,19455,7125,893,137,747,8907,1891,6865,15,27475,749,47138,182,1545,0.31,6.1,7.1,12981,12569,2090,1,129,5,79,728,2,36,426,1,285,8064,7740,324,463,1755,5339,6258,408,194,482,276,5216,2395,8679,3334,1,1,7940,5220,2660,107.11,699,17581,6901,25.3,166,111,3,0,1,8,8,101,13,58,1,3,3,206,3919
37,1227.0,歌志内市　　　,Utashinai-shi,3585,217,1696,1672,4,...,9,75,83,136,3225,1665,1659,920,637,561,326,369,4,1,55.95,13.98,2756,1276,164,26,137,1270,261,1008,0,X,42,5763,31,118,0.11,5.3,10.7,4634,4508,216,1,10,1,13,77,1,14,55,0,0,1421,1306,115,34,329,940,1148,60,14,66,16,641,662,1025,381,0,1,1960,980,980,95.13,215,3553,1318,23.5,31,6,0,0,1,4,2,4,2,4,0,1,1,14,...
38,1228.0,深川市　　　　,Fukagawa-shi,21909,1995,11281,8616,49,10508,81,306,729,860,22181,9669,9636,5550,3297,2861,1875,1554,53,20,529.42,214.52,22690,8566,1130,134,966,9270,1152,7852,115,4020,283,38833,225,1445,0.25,2.7,14.5,17364,17100,2180,2,141,6,87,762,2,41,441,2,509,10300,10006,294,1743,1267,6885,7242,506,314,904,956,8534,1389,10136,1519,7,1,9890,6890,3000,109.21,2458,21605,7135,20.2,207,138,4,0,3,15,13,53,17,39,2,10,9,326,5693
39,1229.0,富良野市　　　,Furano-shi,22936,2684,13092,7096,140,14269,126,249,896,1094,23576,9929,9892,5363,3583,2273,1425,1210,104,51,600.71,197.4,26213,9487,1258,124,1097,10726,1328,8909,105,7853,385,40418,255,1613,0.34,2.4,7.6,13231,13023,2534,4,393,9,141,1057,6,86,604,2,774,12277,11843,434,2401,1586,7584,8549,501,348,1012,1223,10602,1056,12431,1644,3,1,9510,5900,3580,103.65,3001,22249,7210,53.2,256,150,3,0,2,10,13,42,20,50,1,7,1,144,6099
40,1230.0,登別市　　　　,Noboribetsu-shi,49625,5312,26948,16602,92,37774,290,619,1815,2073,42950,21681,21640,13324,6777,6233,3934,3009,205,111,212.21,37.44,53388,20756,1685,314,1362,15228,2489,12666,11,18061,850,55225,303,2594,0.46,3.9,13.7,21576,21093,5188,4,529,8,176,2186,5,96,1128,1,462,22277,21048,1229,258,5055,15380,18038,1042,343,883,373,11349,9296,14862,3110,3,2,21940,13930,7690,93.27,5568,49526,19422,12.5,298,168,7,1,6,18,21,54,27,50,2,9,1,49,10996
41,1231.0,恵庭市　　　　,Eniwa-shi,69702,9132,42897,17465,190,63166,491,666,3393,2971,65918,28846,28752,18092,8768,6752,3962,2827,299,118,294.65,97.36,83534,30140,1980,292,1662,25977,6380,19326,43,195238,4622,121924,358,3721,0.57,5.3,5.9,28059,27224,7883,6,1056,8,221,3839,5,136,1989,2,1803,33235,31646,1589,1212,6550,22605,27393,1067,407,1290,578,18458,12272,27358,7984,1,3,26780,16620,9890,97.81,863,69197,20779,38.1,351,213,12,1,5,37,39,117,51,131,2,9,8,567,13903
42,1233.0,伊達市　　　　,Date-shi,34995,3966,18910,12107,97,21943,185,476,1165,1271,33351,15054,14953,9012,4857,4278,2656,2233,112,50,444.21,130.92,38443,14375,1495,185,1288,13378,1928,11193,50,14882,536,45023,301,2232,0.39,6.8,8.8,18686,17725,3855,2,321,10,153,1619,4,78,883,2,758,16890,16124,766,1655,2895,11421,12770,752,431,1222,830,12156,3827,14565,2268,0,1,15270,9680,5590,99.96,5502,34871,13554,30.6,280,148,4,1,2,26,20,70,21,65,4,12,8,561,8748
43,1234.0,北広島市　　　,Kitahiroshima-shi,59064,7213,34586,17103,139,49510,295,576,2292,2355,58111,23551,23458,16499,5512,6786,4103,2467,187,112,119.05,74,70934,24764,2026,335,1677,25922,4373,21371,20,79682,2696,209562,428,4961,0.64,2.7,4.1,24329,23973,7818,6,695,9,204,2990,8,179,2015,3,3037,27459,26266,1193,559,4482,20189,22277,1261,337,1407,359,11496,14100,25028,12862,2,5,22050,17230,4690,108.86,1501,59205,20547,22.7,397,116,12,0,5,35,33,61,45,88,3,19,11,761,13598
44,1235.0,石狩市　　　　,Ishikari-shi,57436,7415,32732,17229,203,43040,294,657,1952,2055,60459,22632,22562,15543,5142,6761,3879,2498,202,120,722.42,215.33,62050,23704,2300,554,1724,27990,7044,20649,55,108889,3910,204237,361,4297,0.51,2.5,7.9,31606,31062,7776,1,64,13,247,3201,8,160,1726,2,1888,27382,26136,1246,1258,5889,17653,20729,1443,488,1711,773,13166,11917,29025,14806,3,4,22910,18120,4540,111.84,3760,58982,18956,23.6,294,163,9,1,5,28,25,62,34,78,3,14,10,752,14880
45,1236.0,北斗市　　　　,Hokuto-shi,46390,6353,27723,12297,90,29668,302,522,1592,1750,41883,18508,18432,11907,4784,4450,2430,2160,163,120,397.44,98.35,48844,19130,1835,360,1459,17754,4787,12814,43,67361,2965,112198,401,3309,0.46,3.7,5.8,21895,21386,4978,4,425,11,187,2592,5,112,1426,3,853,22887,21715,1172,1699,4840,14515,17492,939,527,1304,937,11074,10053,18190,6528,1,2,18450,12930,5340,105.47,3642,47245,15539,49.4,370,131,8,2,0,26,17,25,18,37,3,11,9,811,10925
46,1303.0,当別町　　　　,Tobetsu-cho,17278,1547,10453,5210,35,5957,62,195,633,753,17137,7327,7314,4325,2340,1907,1090,814,42,19,422.86,159.32,18198,6763,659,87,521,6039,1121,4580,85,34503,949,19215,103,791,0.34,4.1,13.9,10328,10076,2073,0,0,2,44,599,2,40,387,1,393,8613,8131,482,1258,1500,5220,6060,396,172,748,654,4614,3423,7100,2392,1,0,6730,5440,1150,118.96,1794,16688,4799,20.3,106,55,0,0,1,13,8,23,123,69,2,2,2,146,4627
47,1304.0,新篠津村　　　,Shinshinotsu-mura,3329,357,1872,1100,1,...,14,55,106,112,3506,1070,1057,588,248,305,183,113,9,4,78.04,75.89,3729,1347,120,12,84,1305,178,949,51,X,18,2173,14,97,0.18,4,5.6,3424,3344,314,0,0,1,14,133,1,15,75,0,0,1591,1569,22,674,110,651,774,62,65,212,392,1271,222,1832,485,0,0,...,...,...,...,57,3197,722,7.5,13,5,0,0,0,3,1,2,3,0,1,0,0,0,1353
48,1331.0,松前町　　　　,Matsumae-cho,7337,542,3421,3372,31,...,24,171,244,352,7126,3571,3561,1862,1364,1154,753,821,15,14,293.25,23.63,7025,2354,415,74,337,2756,950,1760,4,4031,538,6849,104,393,0.18,5.4,8.1,5638,5432,557,0,0,3,27,205,1,22,136,1,98,3381,3251,130,362,1088,1799,2564,114,120,299,148,2941,293,3056,98,1,1,...,...,...,...,6361,7843,2351,11.5,109,26,0,0,1,4,4,7,4,11,1,2,2,65,2466
49,1332.0,福島町　　　　,Fukushima-cho,4422,331,2238,1853,30,...,16,81,96,150,4282,2039,2036,1134,677,657,385,386,11,3,187.28,16.41,3855,1317,290,57,227,1834,702,1053,1,5328,282,3696,62,242,0.19,3.2,9.5,3946,3865,399,1,10,2,22,108,1,12,80,1,60,2042,1886,156,271,729,882,1396,73,87,182,142,1592,285,1773,172,0,0,...,...,...,...,3432,4389,1499,11.9,61,21,0,0,0,3,2,2,2,0,1,1,1,37,1337
50,1333.0,知内町　　　　,Shiriuchi-cho,4653,508,2553,1592,4,...,18,72,120,200,4718,2003,1998,1081,664,555,330,266,11,6,196.75,31.13,4440,1796,213,50,155,1702,717,902,15,5752,330,4865,31,162,0.25,2,13.3,4685,4616,695,1,16,3,28,199,1,14,106,1,182,2539,2441,98,636,698,1088,1781,80,106,180,285,2034,398,2471,428,2,0,...,...,...,...,1442,4501,1434,16,28,18,0,0,0,5,2,2,2,1,1,2,2,90,1266
51,1334.0,木古内町　　　,Kikonai-cho,4547,307,2236,2004,20,...,12,102,130,185,4515,2140,2135,1100,829,659,386,449,11,6,221.87,22.21,4125,1615,283,50,228,1808,369,1413,10,1583,79,5293,55,310,0.18,0.1,6.9,4767,4730,458,0,0,1,13,122,1,11,70,0,0,2173,2057,116,211,589,1257,1624,81,69,150,127,1536,509,2144,596,1,0,...,...,...,...,2599,4415,1496,7.1,59,25,1,0,1,4,2,9,2,4,1,2,2,75,1187
52,1337.0,七飯町　　　　,Nanae-cho,28120,3384,15672,9058,32,13132,183,352,1143,1015,24164,11141,11090,7194,2787,3094,1761,1543,84,49,216.75,82.11,29632,11688,937,188,738,8345,1817,6437,30,15698,1071,19308,154,1104,0.44,3,8.9,12906,12495,2786,2,298,8,115,1381,4,72,746,1,352,13200,12436,764,1256,2443,8354,9809,558,363,716,718,5590,6586,9060,3210,3,0,11520,9700,1730,120.7,8756,28473,9997,17.5,141,73,3,0,2,18,10,38,11,28,1,8,6,449,7035
53,1343.0,鹿部町　　　　,Shikabe-cho,4226,423,2285,1518,65,...,21,60,105,146,4146,1660,1653,926,488,498,339,224,11,6,110.63,21.33,3731,1542,166,42,122,1279,466,799,2,8583,368,6434,35,165,0.25,6.7,4.2,3125,2999,452,1,75,1,17,175,1,16,90,0,0,2108,2015,93,790,463,761,1141,82,96,293,398,1668,334,2045,364,1,0,...,...,...,...,3184,4086,1277,17.2,36,12,0,0,0,2,1,3,1,4,1,0,0,0,1791
54,1345.0,森町　　　　　,Mori-machi,15946,1795,8625,5526,189,...,70,259,358,536,16139,6628,6612,3619,2112,1813,979,1067,40,21,368.79,90.03,16241,6191,936,208,705,6887,2367,4347,26,50268,1570,40190,183,920,0.29,1.2,14.8,11458,11374,1772,2,116,8,79,685,2,41,440,1,221,8231,7841,390,1825,2266,3711,5390,438,341,692,919,7007,746,8160,1065,2,1,6590,5160,1420,117.18,8775,16269,4816,20.9,172,80,0,0,2,9,6,18,5,17,2,6,5,177,5392
55,1346.0,八雲町　　　　,Yakumo-cho,17252,1967,9895,5369,87,7500,93,256,703,893,17306,7523,7495,4005,2770,1794,1036,1113,74,36,956.08,178.11,22434,7337,985,172,781,7475,1568,5482,67,27269,647,25672,196,954,0.27,8.4,9.2,14814,14119,2079,2,133,8,84,753,4,65,400,1,306,8898,8571,327,1773,1625,5132,6186,403,393,593,954,7916,588,8686,703,1,1,7620,5420,2200,110.61,4214,17299,6146,22.9,191,96,1,0,3,6,7,29,10,27,2,7,5,277,5249
56,1347.0,長万部町　　　,Oshamambe-cho,5926,507,3229,2190,68,...,27,106,362,418,6048,2685,2678,1427,1090,789,487,573,16,3,310.76,82.22,6352,2071,345,53,287,2198,602,1547,25,12698,346,5764,69,317,0.21,3.9,13.2,5085,4961,708,1,45,2,21,199,1,17,103,1,73,2701,2605,96,515,571,1516,1879,149,119,179,273,2390,195,2672,262,0,1,...,...,...,...,2602,5693,2157,11.6,69,31,0,0,1,2,3,4,4,6,1,1,1,14,1529
57,1361.0,江差町　　　　,Esashi-cho,8248,818,4589,2839,7,...,39,133,445,544,8852,3752,3717,1984,1495,932,578,603,31,11,109.53,26.9,8918,3135,560,69,484,4152,455,3662,11,1472,116,15271,117,656,0.28,5.4,14.4,5504,5290,874,2,65,3,52,319,2,34,178,1,310,4046,3852,194,403,585,2833,2946,187,120,343,212,3193,604,4308,1060,0,1,...,...,...,...,3525,8117,3035,4,116,57,1,0,2,5,5,19,4,16,1,5,3,114,1889
58,1362.0,上ノ国町　　　,Kaminokuni-cho,4876,506,2427,1943,10,...,18,97,95,156,4424,2173,2168,1229,706,676,408,417,10,9,547.71,42.84,4592,1724,268,56,198,1616,626,916,10,2473,151,3143,42,189,0.15,15.2,5.6,6394,5715,430,0,0,3,32,185,1,17,125,1,99,2247,2154,93,369,608,1170,1607,138,52,208,126,1470,661,1747,254,0,0,...,...,...,...,2725,5154,1362,3.4,40,22,0,0,0,3,2,2,3,0,1,2,2,127,1340
59,1363.0,厚沢部町　　　,Assabu-cho,4049,440,2050,1556,16,...,16,75,116,168,4135,1765,1757,1044,534,533,336,282,8,10,460.58,89.24,4390,1488,247,44,187,1832,384,1196,40,2330,92,3372,48,169,0.16,2.5,4.4,4986,4606,407,0,0,3,33,162,3,35,100,0,0,2134,2055,79,677,300,1048,1292,129,89,231,293,1664,361,2213,519,0,1,...,...,...,...,1211,4109,1331,3.5,49,14,0,0,1,1,1,3,1,3,1,3,3,110,1205
60,1364.0,乙部町　　　　,Otobe-cho,3906,385,1943,1578,2,...,14,61,93,134,3489,1729,1726,1041,523,559,359,344,9,4,162.59,25.21,3609,1404,197,41,150,1178,434,703,8,4991,211,2694,37,169,0.13,4.5,3.7,3950,3777,276,0,0,3,28,151,1,18,102,0,0,1858,1761,97,275,489,993,1380,90,68,123,89,1219,535,1436,210,1,0,...,...,...,...,1529,3925,1177,3.2,38,11,0,0,1,1,0,2,0,2,1,1,1,85,994
61,1367.0,奥尻町　　　　,Okushiri-cho,2690,253,1442,995,6,...,18,42,143,171,2716,1270,1260,653,504,325,216,253,9,2,142.97,19.65,3425,1151,254,36,214,1626,321,1293,6,X,12,2561,51,154,0.14,1.6,11.5,5550,5500,285,2,44,2,24,79,1,18,53,1,41,1393,1347,46,151,171,1020,991,53,49,170,80,1340,3,1372,28,0,0,...,...,...,...,493,2812,1275,3.1,48,25,0,0,1,3,1,4,2,1,1,0,0,0,772
62,1370.0,今金町　　　　,Imakane-cho,5628,566,2965,2097,2,...,38,72,180,218,5487,2280,2263,1308,677,683,442,345,14,12,568.25,121.55,5535,2092,263,45,205,2087,299,1652,57,335,41,7367,57,262,0.17,0.9,7.6,5560,5500,501,0,0,2,29,216,1,16,112,0,0,2903,2825,78,820,386,1592,1814,114,77,357,434,2506,291,2811,277,0,0,...,...,...,...,1295,5511,2129,6.6,59,22,0,0,1,3,3,5,3,8,1,1,1,120,1761
63,1371.0,せたな町　　　,Setana-cho,8473,749,4135,3589,30,...,32,151,222,362,8480,3862,3848,2067,1409,1107,736,796,14,11,638.68,138.59,7540,2875,550,98,442,3224,667,2479,60,2985,102,9832,113,422,0.14,6.4,8.4,9493,8924,645,1,21,5,44,308,3,40,174,1,267,4089,3977,112,1073,627,2276,2559,191,135,546,538,3627,333,3917,273,0,1,...,...,...,...,3653,8401,4162,11.9,113,41,0,0,2,5,5,12,5,8,2,4,3,139,2551
64,1391.0,島牧村　　　　,Shimamaki-mura,1499,118,773,608,1,...,8,29,41,48,1405,661,656,368,235,205,125,147,5,1,437.18,69.6,1370,483,99,11,85,515,68,433,3,0,0,671,16,48,0.08,3.1,4.3,2585,2529,108,0,0,1,9,36,1,12,31,0,0,717,697,20,176,98,422,466,24,32,91,82,570,123,622,48,0,0,...,...,...,...,1002,1560,438,14.6,15,2,0,0,0,1,0,1,1,0,0,1,1,25,...
65,1392.0,寿都町　　　　,Suttsu-cho,3137,319,1658,1160,36,...,11,47,122,146,3192,1420,1413,724,602,374,223,296,11,7,95.25,14.72,3062,1126,213,33,172,1474,396,1011,3,2744,191,3620,48,176,0.13,2.1,15.3,5272,5228,234,0,0,2,25,112,1,12,76,1,84,1436,1393,43,137,307,942,1096,97,51,87,58,1244,135,1444,186,0,0,...,...,...,...,749,3109,1339,26.6,42,14,0,0,0,3,2,5,2,2,1,2,1,120,761
66,1393.0,黒松内町　　　,Kuromatsunai-cho,3082,348,1583,1151,4,...,13,65,138,158,3066,1336,1327,672,586,336,231,242,9,4,345.65,72.85,2768,1071,185,27,150,1361,246,1069,34,X,60,1845,34,112,0.13,7.5,6.9,5368,5184,251,0,0,2,24,135,2,23,89,0,0,1368,1331,37,192,157,980,1054,52,29,114,78,1211,111,1391,171,0,0,...,...,...,...,397,2983,992,33.6,34,11,0,0,0,5,1,4,1,2,1,4,1,57,...
67,1394.0,蘭越町　　　　,Rankoshi-cho,4843,506,2536,1801,16,...,27,74,130,207,4672,2086,2053,1233,627,621,392,312,14,7,449.78,71.25,5046,1928,307,55,236,1897,449,1321,40,42,17,7787,66,281,0.17,9.7,8.5,6271,5901,455,1,37,2,24,181,1,14,114,1,49,2480,2388,92,684,322,1355,1539,127,78,283,337,1980,385,2278,275,0,0,...,...,...,...,827,4812,1584,70.7,64,20,0,0,1,4,2,4,2,5,1,2,1,83,...
68,1395.0,ニセコ町　　　,Niseko-cho,4958,652,2893,1322,143,...,39,49,294,289,4880,2274,2270,1166,905,446,253,248,25,8,197.13,51.54,6121,2142,282,28,247,1999,178,1727,27,765,49,2513,39,139,0.25,6.2,13,4689,4520,808,1,52,2,30,246,1,16,94,1,72,2658,2523,135,480,226,1786,1723,133,75,263,306,1895,605,2492,574,0,0,...,...,...,...,1111,4924,1808,73.9,50,38,0,0,0,2,2,2,3,2,1,1,1,91,...
69,1396.0,真狩村　　　　,Makkari-mura,2103,239,1165,698,12,...,10,22,87,93,2193,855,852,454,291,217,126,120,12,5,114.25,36.09,3074,927,115,8,100,717,47,614,30,X,27,5407,20,111,0.14,6.8,9.5,2987,2863,210,0,0,2,16,92,1,10,55,1,82,1163,1144,19,488,61,574,671,48,60,108,249,959,173,1213,242,1,0,...,...,...,...,403,2080,552,52.9,17,16,0,0,0,3,1,2,1,4,1,2,2,66,...
70,1397.0,留寿都村　　　,Rusutsu-mura,1907,243,1202,462,53,...,9,23,108,85,2290,915,912,397,431,154,91,77,10,1,119.84,45.41,2836,927,125,10,112,1242,75,1138,24,1212,47,1879,25,145,0.22,2.1,6.1,3648,3607,360,0,0,1,13,100,1,13,52,1,69,1230,1213,17,362,85,760,827,43,31,114,190,1098,113,1577,477,1,0,...,...,...,...,129,1922,728,72.5,26,13,0,0,0,2,1,2,1,0,0,2,1,66,...
71,1398.0,喜茂別町　　　,Kimobetsu-cho,2294,207,1204,866,12,...,2,10,112,106,2260,1123,1119,514,511,289,191,160,8,1,189.41,33.24,2144,882,145,15,127,934,219,701,13,1088,107,2275,37,157,0.17,3,8.9,3150,3095,290,0,0,2,16,91,1,12,44,0,0,1237,1202,35,275,135,781,828,49,29,137,148,898,289,1194,281,0,0,...,...,...,...,310,2247,750,54.3,32,19,0,0,0,2,2,2,2,1,1,1,1,66,...
