"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","34208","広島県 府中市","","13960738","5655361","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34209","広島県 三次市","","27670856","5503409","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34210","広島県 庄原市","","24117985","3536208","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34211","広島県 大竹市","","10845373","4931079","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34212","広島県 東広島市","","38261331","13567154","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34213","広島県 廿日市市","","31271923","11021563","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34214","広島県 安芸高田市","","16054386","3085114","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34215","広島県 江田島市","","11543833","2519910","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34302","広島県 府中町","","9066047","6338019","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34304","広島県 海田町","","6666964","4179457","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34307","広島県 熊野町","","4271949","1727807","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34309","広島県 坂町","","2929020","1833932","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34368","広島県 安芸太田町","","8004854","973607","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34369","広島県 北広島町","","13274042","1856119","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34431","広島県 大崎上島町","","5397821","846062","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34462","広島県 世羅町","","8910168","1475210","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34545","広島県 神石高原町","","8852978","766335","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","35201","山口県 下関市","","85035832","31977726","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","35202","山口県 宇部市","","40029655","20796868","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
